,0
125,4822.17822265625
126,4903.546875
127,5048.78076171875
128,5070.34521484375
129,5029.4599609375
130,4930.39990234375
131,4825.28076171875
132,4721.5869140625
133,4686.06591796875
134,4697.33740234375
135,4734.69970703125
136,4755.81689453125
137,4786.54736328125
138,4741.77197265625
139,4773.17236328125
140,4685.78955078125
141,4660.017578125
142,4647.640625
143,4641.39794921875
144,4658.14501953125
145,4652.7666015625
146,4638.1943359375
147,4626.74853515625
148,4655.9091796875
149,4611.837890625
150,4625.9609375
151,4642.75830078125
152,4646.0439453125
153,4632.2685546875
154,4608.27001953125
155,4591.333984375
156,4577.67236328125
157,4695.4033203125
158,4580.23193359375
159,4631.84326171875
160,4686.87353515625
161,4711.6376953125
162,4697.02392578125
163,4659.85986328125
164,4598.0732421875
165,4559.8310546875
166,4570.46240234375
167,4587.40576171875
168,4551.29833984375
169,4574.27978515625
170,4599.96630859375
171,4611.70458984375
172,4605.43505859375
173,4590.32666015625
174,4560.45703125
175,4542.46484375
176,4543.35791015625
177,4574.40869140625
178,4540.8310546875
179,4553.92578125
180,4572.609375
181,4581.5419921875
182,4578.2998046875
183,4562.81689453125
184,4544.333984375
185,4530.06982421875
186,4525.916015625
187,4597.1513671875
188,4528.09326171875
189,4556.7080078125
190,4579.6591796875
191,4597.5810546875
192,4599.12841796875
193,4578.228515625
194,4558.857421875
195,4529.53173828125
196,4521.37744140625
197,4619.3935546875
198,4526.7333984375
199,4545.3974609375
200,2065.871337890625
201,2052.589111328125
202,2046.2183837890625
203,2014.5006103515625
204,1973.9237060546875
205,1975.1341552734375
206,1969.20703125
207,2018.0833740234375
208,1978.73974609375
209,1973.8077392578125
210,1971.0543212890625
211,1975.3228759765625
212,1979.73828125
213,1966.8270263671875
214,1971.97705078125
215,1968.6011962890625
216,1966.1287841796875
217,1973.6533203125
218,1948.9981689453125
219,1942.775634765625
220,1946.8682861328125
221,1939.918701171875
222,1942.955810546875
223,1944.3343505859375
224,1942.9520263671875
225,1942.092041015625
226,1939.0721435546875
227,1938.3270263671875
228,1935.5032958984375
229,1936.8743896484375
230,1935.607666015625
231,1938.03662109375
232,1938.1541748046875
233,1937.150634765625
234,1936.79150390625
235,1932.9698486328125
236,1933.486083984375
237,1945.97021484375
